frame,average_alive_cells
0,0.0221
1,0.021
2,0.0194
3,0.016
4,0.0152
5,0.0131
6,0.0137
7,0.0128
8,0.0126
9,0.0118
10,0.0126
11,0.0118
12,0.0127
13,0.0121
14,0.0123
15,0.014
16,0.0128
17,0.0132
18,0.0131
19,0.0153
20,0.0137
21,0.0155
22,0.0161
23,0.0161
24,0.0145
25,0.0159
26,0.015
27,0.014
28,0.0137
29,0.0125
30,0.0128
31,0.0127
32,0.0139
33,0.0132
34,0.0133
35,0.0131
36,0.0128
37,0.0117
38,0.0118
39,0.0121
40,0.0121
41,0.0126
42,0.0112
43,0.0112
44,0.0118
45,0.0136
46,0.0124
47,0.0126
48,0.0124
49,0.0124
50,0.0111
51,0.0123
52,0.0104
53,0.0098
54,0.0097
55,0.0106
56,0.0097
57,0.0105
58,0.0105
59,0.0115
60,0.0101
61,0.0098
62,0.0105
63,0.0105
64,0.0107
65,0.0116
66,0.0123
67,0.0128
68,0.0132
69,0.0116
70,0.012
71,0.0115
72,0.0111
73,0.0116
74,0.0102
75,0.0111
76,0.0101
77,0.0113
78,0.0099
79,0.0103
80,0.0101
81,0.0108
82,0.0107
83,0.0122
84,0.0107
85,0.0101
86,0.0097
87,0.0103
88,0.0112
89,0.0122
90,0.0119
91,0.0115
92,0.0125
93,0.012
94,0.0134
95,0.0125
96,0.0137
97,0.0109
98,0.011
99,0.0115
100,0.0109
101,0.0116
102,0.0122
103,0.0114
104,0.0128
105,0.0101
106,0.0095
107,0.0101
108,0.0103
109,0.0108
110,0.0107
111,0.0121
112,0.0108
113,0.0125
114,0.0109
115,0.0112
116,0.0113
117,0.0127
118,0.0089
119,0.0093
120,0.009
121,0.0111
122,0.0086
123,0.0092
124,0.0093
125,0.0096
126,0.0104
127,0.0099
128,0.0105
129,0.0105
130,0.0099
131,0.0096
132,0.0099
133,0.0107
134,0.0102
135,0.0105
136,0.0104
137,0.011
138,0.0106
139,0.0091
140,0.0095
141,0.009
142,0.01
143,0.0094
144,0.009
145,0.0082
146,0.0079
147,0.0084
148,0.0082
149,0.0076
150,0.0082
151,0.0063
152,0.0065
153,0.0069
154,0.0071
155,0.0071
156,0.0075
157,0.0079
158,0.0077
159,0.0073
160,0.0073
161,0.0083
162,0.0072
163,0.0072
164,0.0075
165,0.0083
166,0.0076
167,0.0079
168,0.0074
169,0.0078
170,0.0087
171,0.0072
172,0.0068
173,0.0079
174,0.0072
175,0.007
176,0.0073
177,0.0077
178,0.0075
179,0.0078
180,0.0077
181,0.008
182,0.0083
183,0.0093
184,0.0088
185,0.01
186,0.0105
187,0.0117
188,0.0102
189,0.0109
190,0.0111
191,0.0113
192,0.0115
193,0.0104
194,0.0095
195,0.0094
196,0.0093
197,0.0091
198,0.0105
199,0.0093
200,0.0103
201,0.0097
202,0.0096
203,0.0095
204,0.0097
205,0.0101
206,0.0099
207,0.0107
208,0.0106
209,0.0213
